span_nm,count
porsche_page_Map_poi_card_cardshow,2466
search_homepage_search_history_query_item_show,616
search_results_page_post_card_carshow,448
porsche_page_pageshow,298
porsche_page_recommend_post_card_cardshow,272
discovery_page_pageshow,246
post_detail_page_pageshow,216
discovery_page_post_card_cardshow,212
search_results_page_pageshow,147
poi_detail_page_post_card_cardshow,108
porsche_page_recommend_account_cardshow,102
post_detail_page_back_button_click,101
search_homepage_pageshow,84
poi_detail_page_pageshow,81
trival_guide_page_pageshow,69
profile_page_travel_guide_tab_trip_card_cardshow,68
search_results_page_all_tab_switch_click,64
post_detail_page_POI_button_show,58
search_results_page_post_card_click,54
profile_page_pageshow,52
profile_page_post_tab_post_card_carshow,40
navigation_bar_porsche_tab_click,32
post_detail_page_ai_travel_guide_button_show,31
porsche_page_pageslide,30
porsche_page_Map_poi_card_click,30
navigation_bar_discovery_tab_click,30
trival_guide_page_back_button_click,29
porsche_page_Map_POI_Category_click,25
porsche_page_recommend_post_card_click,22
porsche_page_map_return_to_my_location_click,21
poi_detail_page_navigation_button_click,21
porsche_page_search_click,21
post_detail_page_generated_travel_guide_button_show,21
poi_detail_page_navigation_popup_confirm_click,20
porsche_page_Map_POI_Category_cardshow,20
post_detail_page_generated_travel_guide_button_click,20
discovery_page_pageslide,20
trival_guide_page_detail_tab_poi_navigation_popup_confirm_click,18
login_page_QRCode_Authentication,18
discovery_page_pull_to_refresh,17
porsche_page_Map_poi_Category_entry_click,17
post_detail_page_ai_travel_guide_button_click,15
profile_page_post_tab_click,15
trival_guide_page_detail_tab_poi_navigation_button_click,13
post_detail_page_body_image_swipe_for_next,13
navigation_bar_profile_icon_click,12
profile_page_save_tab_post_card_carshow,12
trival_guide_page_detail_tab_click,12
profile_page_like_tab_post_card_carshow,12
discovery_page_post_card_click,11
search_homepage_search_history_query_item_click,11
login_page_pageshow,10
Profile_page_travel_guide_tab_click,8
search_homepage_search_history_query_item_delete_click,7
profile_page_save_tab_click,7
porsche_page_search_mic_click,7
discovery_page_search_click,6
porsche_page_pull_to_refresh,6
porsche_page_map_onFullscreen_Entry_Click,5
search_homepage_search_history_query_delete_entry_click,5
post_detail_page_body_image_click,5
porsche_page_recommend_account_cardclick,5
trival_guide_page_overview_tab_complete_trip_click,5
trival_guide_page_share_icon_click,5
porsche_page_map_map_zoom_out,5
porsche_page_map_map_zoom_in,5
post_detail_page_Profile_Picture_Click,3
post_detail_page_post_like_click,3
profile_page_travel_guide_tab_trip_card_click,3
profile_page_liked_tab_click,3
trival_guide_page_back_to_original_post_click,3
porsche_page_map_onFullscreen_Exit_Click,2
post_detail_page_save_button_click,2
trival_guide_page_overview_tab_click,2
trival_guide_page_detail_tab_date_switch_click,2
discovery_page_search_mic_click,2
search_results_page_video_tab_switch_click,2
profile_page_setting_click,2
navigation_bar_porsche_tab_scroll_to_top_click,2
search_results_page_image_tab_switch_click,2
other_profile_page_follow_button_click,1
poi_detail_page_tel_btn_click,1
profile_page_post_tab_post_card_click,1
profile_page_like_tab_post_card_click,1
profile_page_setting_sign_out_button_click,1
search_homepage_search_history_query_delete_all_click,1
post_detail_page_nickname_click,1
profile_page_travel_guide_tab_add_trip_entry_click,1
poi_detail_page_navigation_popup_cancel_click,1
profile_page_travel_guide_tab_add_trip_popup_close_button_click,1
post_detail_page_follow_button_click,1
navigation_bar_discovery_tab_scroll_to_top_click,1
profile_page_travel_guide_tab_share_code_trip_add_click,1
